tazak,qid,question,asked,answered,last_10,last_time,priority_val,grade,ans,is_true,elapsed
8,230,If one of the family members is not happy; eventually none of them will be h*****,9,9,111111111,165,1.0,23,happy,1,8
11,335,להפנות,4,4,1111,500,0.05,25,to refer,1,2
15,694,לספר את הסיפור,0,0,,1005,0.07,81,to tell the story,1,5
34,641,מכאן ***** *****,0,0,,1147,0.07,81,from now,0,19
271,652,תשיג את זה,0,0,,1148,0.07,81,get it,1,230
282,629,גבוה (בן אדם או חפץ גבוה ורזה),0,0,,1159,0.07,81,tall,1,12
285,337,Multiplication = The p***** of adding a number to itself a particular number of times,4,4,1111,661,0.02,33,process,1,3
287,714,שולחן כתיבה *****d,0,0,,1007,0.07,81,desk,1,2
298,307,<img src="path"> is Empty HTML Element,6,6,111111,194,0.31,14,No,0,10
313,351,Composite Number is a positive integer that can be performed by m***** two smaller positive integers,12,11,11111111111,524,0.83,39,mutiplication,0,15
333,601,הפרח הזה מאוד יפה,1,1,1,240,0.07,13,this flower is very beautiful,1,11
338,473,HTML Closing Tag is located in the ***** of the document,6,6,111111,274,0.62,23,end,1,5
341,625,אישה גבוהה,0,0,,1166,0.07,81,tall woman,1,3
346,493,To run the Interactive Mode type "python" or "py" in the c***** p*****,2,2,11,684,0.71,44,command prompt,1,5
354,678,כל אחד מכם,0,0,,1027,0.07,81,everyone of you,0,8
