tazak,qid,priority_val,question,asked,answered,last_10,last_time,grade,ans,is_true,elapsed
15,264,0.15,Numeral System = Writing system for expressing n*****,1,1,1,1,2,numbers,1,15
25,273,0.65,The number N is a Square Number if and only if one can arrange N points in a *****,1,1,1,1,9,square,1,11
115,247,0.65,Composite Number that is not a Square Number; have an ***** number of positive divisors,1,0,0,1,39,odd,0,90
154,313,0.58,HTML Inline Level is rendered with a line break before and after,1,1,1,1,8,No,1,13
157,234,1.0,A happy man does not complain all the time and thinks the world o***** him,2,1,01,1,30,owes,1,3
162,250,0.88,Integer can be negative,1,1,1,1,13,Yes,1,5
167,260,0.73,Rational Number = Number that can be written as a f*****,1,1,1,1,11,fraction,1,5
170,263,0.88,Rational Numbers can be negative,1,1,1,1,13,Yes,1,3
171,259,0.88,Counting Numbers can be negative,1,1,1,1,13,No,1,2
174,292,0.23,Some HTML Tag Attributes are Case Sensitive,1,1,1,1,3,Yes,1,2
176,227,0.08,חלוקה *****d,1,1,1,1,1,division,1,3
179,250,0.88,Integer can be negative,2,2,11,1,13,Yes,1,3
187,240,0.96,Children will s***** in what they love to do,1,0,0,1,44,success,0,7
198,288,0.15,Hyper Text = Text with l***** to another text,1,0,0,1,32,links,0,5
322,284,0.35,Square Number can end with digit 9,1,1,1,1,5,Yes,1,94
325,316,0.54,<b> is a Block Level Tag,1,1,1,1,8,No,1,3
341,252,0.69,Whole Numbers = positive i***** with zero,1,1,1,1,10,integers,1,16
353,294,0.15,You can write and read HTML code in any text editor,1,1,1,1,2,Yes,1,12
358,286,0.5,Square Number (except zero) has an ***** number of positive divisors,1,0,0,1,37,,0,5
368,282,0.35,Square Number can end with digit 7,1,1,1,1,5,No,1,4
373,323,0.38,HTML C***** Element is nested within other Element,1,1,1,1,5,child,1,6
376,211,0.12,של,1,1,1,1,1,of,1,3
389,268,0.23,Numbers are not only an invention; it is a**** a discovery,1,1,1,1,3,also,1,12
