tazak,qid,question,asked,answered,last_10,last_time,priority_val,grade,ans,is_true,elapsed
8,272,N^2 usually pronounced as N *****,1,1,1,184,0.65,18,squared,1,8
15,287,HTML Acronym (4 words),1,1,1,239,0.15,14,Hyper Text Markup Language,1,7
23,301,Empty HTML Element,2,2,11,69,0.58,12,1,1,8
28,350,Positive Integers = n***** n*****,1,1,1,137,0.69,17,natural numbers,1,5
35,321,HTML Child Element is n***** within other Element,1,1,1,191,0.42,15,nested,1,7
52,328,Number Line is a s***** line that serves as abstraction for real numbers,0,0,,1269,0.23,83,straight,1,17
59,277,Square Number can end with digit 2,0,0,,1270,0.35,85,No,1,7
61,360,Recommended HTML Style is lowercase,1,1,1,106,0.19,8,Yes,1,2
64,183,to be able to = to have the n***** ability to do something,2,2,11,126,0.12,8,necessary,1,3
67,307,<img src="path"> is Empty HTML Element,1,1,1,253,0.62,21,Yes,1,3
70,248,Integer = Number w***** no fractional part,1,1,1,45,0.69,12,with,1,3
74,350,Positive Integers = n***** n*****,2,2,11,8,0.69,10,natural numbers,1,4
79,245,Composite Number is a positive i***** that can be performed by multiplying two smaller positive integers,1,1,1,214,0.5,18,integer,1,5
81,316,<b> is a Block Level Tag,1,1,1,227,0.54,19,No,1,2
84,310,HTML Element Block Level,2,2,11,55,0.62,12,2,1,3
91,305,Empty HTML Element is without Closing Tag,2,2,11,30,0.54,9,Yes,1,7
105,351,Composite Number is a positive integer that can be performed by m***** two smaller positive integers,3,2,011,62,0.5,20,multiplying,1,14
117,263,Rational Numbers can be negative,1,1,1,239,0.88,25,Yes,1,12
121,208,זה *a**,1,1,1,253,0.12,14,that,1,4
123,315,<p> is an Inline Level Tag,2,2,11,33,0.54,9,No,1,2
126,253,Whole Numbers can be negative,2,2,11,24,0.88,14,No,1,3
128,275,Square Number can end with digit 0,1,1,1,157,0.35,13,Yes,1,2
139,348,Ten fingers on two hands is the possible origin of decimal s*****,1,1,1,168,0.23,11,system,1,11
145,210,אלה **o**,1,1,1,195,0.12,11,those,1,6
149,318,Empty Element can contain Elements inside it,2,2,11,140,0.46,13,No,1,5
3313,250,Integer can be negative,5,5,11111,28,0.88,14,Yes,1,3164
3316,310,HTML Element Block Level,3,3,111,12,0.62,9,2,1,2
3332,278,Square Number can end with digit 3,1,1,1,268,0.35,18,No,1,17
3335,304,Empty HTML Element is without Opening Tag,1,1,1,284,0.54,22,No,1,3
3338,332,אבל / אולם,1,1,1,61,0.12,4,but,1,2
3342,231,If one of the family members is not happy; e***** none of them will be happy,2,2,11,37,1.0,16,eventually,1,4
3347,357,Number Type Ordering: Natural (Counting) => Whole => ***** => Rational => Real,1,0,0,74,0.88,46,integer,1,5
3355,264,Numeral System = Writing system for expressing n*****,1,1,1,261,0.15,15,numbers,1,8
3358,192,division = splitting into e***** parts,2,2,11,51,0.08,3,equal,1,4
