tazak,qid,question,asked,answered,last_10,last_time,priority_val,grade,ans,is_true,elapsed
6,431,כותרת *****t,3,3,111,353,0.05,18,title,1,6
12,623,יש לי את היכולת,0,0,,1011,0.07,81,i have the ability,1,6
17,448,Doctype Tag is instruction to the browser about what version of HTML the d***** is written in,4,4,1111,84,0.52,12,document,1,5
20,394,רוב *****mo,6,6,111111,289,0.07,15,most,1,3
23,192,division = splitting into e***** parts,6,6,111111,683,0.05,34,equal,1,2
26,423,metadata = data that provides i***** about other data,1,1,1,1125,0.02,50,information,1,3
29,574,אתה צודק,1,1,1,488,0.07,25,you are right,1,3
31,280,Square Number can end with digit 5,7,7,1111111,156,0.74,18,Yes,1,2
35,329,Number Line is a straight line that serves as a***** for real numbers,8,6,01111011,250,0.69,30,abstraction,1,4
42,609,structure = the arrangenment of and relations between the elements of something c*****,1,1,1,168,0.07,9,complex,1,7
44,248,Integer = Number w***** no fractional part,7,7,1111111,368,0.88,31,with,1,2
51,331,If we add the number N to its opposite number we get *****,7,7,1111111,91,0.69,14,zero,1,7
54,389,<a> = i**** level tag,2,2,11,242,0.26,16,inline,1,3
57,428,דף; עמוד,1,1,1,1117,0.07,51,page,1,4
60,607,להעניק,1,1,1,178,0.05,9,to grant,1,2
159,450,Doctype Tag as indication for HTML5,2,2,11,276,0.55,22,<!DOCTYPE html>,1,99
171,430,הכי ***** *****,3,2,101,378,0.07,29,the most,1,12
222,309,Empty HTML Element can nest other Elements within them,5,5,11111,392,0.31,24,No,1,51
225,477,שלו,2,2,11,74,0.07,4,his,1,4
232,268,Numbers are not only an invention; it is a**** a discovery,7,7,1111111,400,0.69,30,also,1,6
