tazak,qid,question,asked,answered,last_10,last_time,priority_val,grade,ans,is_true,elapsed
2,519,כל *****a,6,5,101111,274,1.0,33,all,1,2
4,368,מה,6,6,111111,411,1.0,35,what,1,2
6,553,רצון,2,2,11,955,1.0,62,will,1,2
8,586,שולחן *****t,5,5,11111,89,1.0,19,table,1,2
9,212,ל,8,8,11111111,73,1.0,18,to,1,1
11,587,ליפול,3,3,111,509,1.0,40,to fall,1,2
13,719,כאן; פה,1,1,1,261,1.0,28,here,1,2
16,615,ילד/ה cxxxxx; kxxxxx,1,1,1,656,1.0,47,child; kid,1,3
18,208,זה *a**,6,6,111111,232,1.0,26,that,1,2
20,551,אודות,1,1,1,1176,1.0,65,about,1,2
22,778,מערכת,0,0,,1200,1.0,95,system,1,2
25,710,לעשות to d; to m,0,0,,1486,1.0,95,to do; to make,1,3
32,710,לעשות to d; to m,1,1,1,1,1.0,15,to do; to make,1,7
35,406,זמין,2,2,11,493,1.0,39,available,1,3
37,479,ללכת to g,3,3,111,598,1.0,44,to go,1,1
39,555,לספר,3,3,111,535,1.0,41,to tell,1,3
41,597,ארוך,1,1,1,905,1.0,60,long,1,2
42,212,ל,8,8,11111111,76,1.0,18,to,1,1
45,215,בתוך e*****,6,5,111110,536,1.0,46,inside,1,3
47,222,על *o,6,6,111111,521,1.0,41,on,1,2
67,237,Happy people share positive energy with t***** around them,0,0,,1000,1.0,95,those,1,20
70,231,If one of the family members is not happy; e***** none of them will be happy,0,0,,1001,1.0,95,eventually,1,3
76,665,מכנסיים קצרים *****,2,2,11,181,0.25,12,shorts,1,7
81,715,שולחן; שולחן כתיבה tXXXXX; dXXXXX,1,1,1,27,0.25,5,table, desk,0,4
