tazak,qid,question,asked,answered,last_10,last_time,priority_val,grade,ans,is_true,elapsed
12,706,גרמתי לזה לקרות,0,0,,1179,0.07,81,,0,12
23,261,{p/q : p and q are integers; q is not zero} = r***** numbers,7,7,1111111,275,0.9,27,rational,1,6
32,631,a/an = before a noun shows that was is r***** to is not already known to the speaker,0,0,,1322,0.07,81,referred,1,8
43,725,בכל מקרה אחר ***** ***** ***** in,1,0,0,22,0.07,32,in any other case,1,11
140,742,module_1 content:
====================
print('start module_1')
x=2

module_2 content:
====================
from  module_1 import x
x====5
print(x)

What will be printed?,0,0,,1056,0.81,92,start module_1\n5,1,97
339,616,ילד,1,1,1,512,0.07,26,boy,1,199
343,448,Doctype Tag is instruction to the browser about what version of HTML the d***** is written in,4,4,1111,408,0.52,28,document,1,4
350,451,Doctype Tag is located in the ***** line of an HTML document,4,4,1111,55,0.55,11,first,1,7
353,697,קו ארוך,0,0,,1187,0.07,81,long line,1,3
359,552,שלהם,4,4,1111,467,0.07,24,their,1,6
361,190,eventually = after a l**** delay or series of problems,3,3,111,847,0.05,43,long,1,2
363,473,HTML Closing Tag is located in the ***** of the document,7,7,1111111,176,0.62,18,end,1,2
367,305,Empty HTML Element is without Closing Tag,8,7,11111101,247,0.26,20,Yes,1,4
371,591,process = a series of actions taken in order to achieve a particular e*****,1,1,1,623,0.07,32,end,1,4
400,263,Rational Numbers can be negative,8,8,11111111,128,0.93,20,Yes,1,29
404,189,those = p***** form of that,3,3,111,1018,0.07,51,plural,1,4
407,677,כל יום,0,0,,1205,0.07,81,every day,1,3
408,278,Square Number can end with digit 3,4,4,1111,359,0.74,29,No,1,1
410,614,ילד/ה *****k,1,1,1,511,0.07,26,kid,1,2
415,654,היא בת שלי,0,0,,1339,0.07,81,she is my daughter,1,5
419,347,Ten fingers on two hands is the possible origin of d***** system,5,5,11111,269,0.69,23,decimal,1,4
421,554,כל כך *****s,5,3,00111,109,0.07,18,so,1,1
423,386,<div> = b**** level tag,3,3,111,893,0.26,48,block,1,2
425,711,טבלה,0,0,,1202,0.07,81,table,1,2
429,611,עמוד אינטרנט,1,1,1,261,0.07,14,web page,1,4
432,248,Integer = Number w***** no fractional part,7,7,1111111,703,0.88,48,with,1,3
437,685,שדה מוקשים,0,0,,1205,0.07,81,mine field,1,5
444,622,יכולת פוטנציאלית,1,1,1,350,0.07,18,potential capability,1,7
480,663,שרוול קצר,1,1,1,312,0.07,16,short sleeve,1,36
483,455,Head Tag holds the m***** of the HTML Document,3,3,111,548,0.62,36,metadat,0,3
487,244,Composite Number is a p***** integer that can be performed by multiplying two smaller positive integers,9,9,111111111,528,0.83,38,positive,1,2
490,709,לעשות; להכין to m,0,0,,1210,0.07,81,to make,1,3
493,519,כל *****a,5,4,10111,542,0.07,34,all,1,3
495,588,סתיו *****f,1,1,1,969,0.07,49,fall,1,2
499,355,Number Type Ordering: ***** => Whole => Integer => Rational => Real,5,5,11111,437,0.93,35,natural,1,4
503,521,Python Module is text f***** with python statements,4,4,1111,342,0.76,28,file,1,5
509,238,Because of bad p*****; children learn that one can love someone who hurts them,7,7,1111111,795,0.95,54,parents,1,6
514,397,Tag Attributes values should be enclosed in quotation marks (usually by double q*****),3,3,111,892,0.38,50,quotes,1,5
516,209,אלה **e**,5,5,11111,1058,0.07,51,these,1,2
537,740,module_1 content:
====================
print('start module_1')
x=2

module_2 content:
====================
from  module_1 import x
print(x)

What will be printed?,0,0,,1101,0.81,92,start module_1\2,0,21
569,669,כפי שאתה יכול לראות,1,0,0,222,0.07,42,as you can see,1,6
575,681,כמו aXXX; lXXX; sXXX,0,0,,1230,0.07,81,as; like; such,1,6
579,533,Command "*****" load another module and grant access to its content,4,4,1111,134,0.79,18,import,1,4
585,352,Composite Number is a positive integer that can be performed by multiplying two s***** positive integers,6,6,111111,463,0.74,34,smaller,1,6
588,495,The Interactive Mode automatically prints on the screen the r***** of the typed expression,5,5,11111,327,0.71,27,result,1,3
591,641,מכאן ***** *****,1,0,0,218,0.07,41,from here,1,2
596,638,הדעה שלו,1,1,1,288,0.07,15,his opinion,1,5
597,510,כמו *****l,3,3,111,811,0.07,41,like,1,2
643,736,module_1 content:
====================
print('start module_1')
x====2

module_2 content:
====================
import module_1
print(module_1.x)

Valid code?,0,0,,1110,0.81,92,Yes,1,1
646,512,לדעת,5,5,11111,476,0.07,24,to know,1,3
