tazak,qid,question,asked,answered,last_10,last_time,priority_val,grade,ans,is_true,elapsed
40,413,כיכר *****p,1,1,1,858,0.05,43,plaza,1,40
47,377,Tag Attributes usually consists of a *****-***** pairs (ex: width="50"),4,3,1110,235,0.4,25,key-value,1,7
54,599,מיעוט,0,0,,1109,0.05,80,minority,1,7
65,298,All HTML Elements have Closing Tag,4,4,1111,784,0.1,40,Yes,0,11
92,531,Execute module.py in Comand Prompt with Interactive Mode,2,1,01,290,0.81,41,python -i module.py,1,7
103,371,In ***** numbers; the decimal expansion goes on forever without repeating,5,5,11111,498,0.93,38,irrational,1,10
106,370,Irrational Numbers cannot be written as a f*****,4,4,1111,765,0.93,52,fraction,1,3
109,521,Python Module is text f***** with python statements,2,2,11,365,0.76,29,file,1,3
112,302,Empty HTML Element must be without Tag Attributes,5,5,11111,394,0.26,23,No,1,4
115,311,HTML Element Inline Level,5,5,11111,720,0.31,40,1,1,2
125,389,<a> = i**** level tag,1,1,1,1077,0.26,53,inline,1,11
129,395,רוב *****ma,2,2,11,681,0.07,35,majority,1,3
131,324,Browsers display HTML Tags,3,3,111,593,0.48,36,No,1,3
134,502,In the Interactive Mode; a multiline statement terminates with a b***** line,4,4,1111,295,0.71,25,blank,1,3
137,514,לי,2,2,11,302,0.07,16,me,1,2
140,305,Empty HTML Element is without Closing Tag,6,6,111111,104,0.26,9,No,0,3
146,500,In the Interactive Mode; a m***** statement terminates with a blank line,1,1,1,658,0.71,43,module,0,4
158,558,בנים ובנות,1,1,1,491,0.07,25,boys and girls,1,4
161,504,to k***** = to have information in your mind,1,1,1,341,0.07,18,know,1,3
164,319,Non Empty Element can contain any number of Elements inside it,3,3,111,704,0.21,38,Yes,1,3
168,379,B***** Tag Attribute is without value (ex: checked; required),3,3,111,356,0.36,23,boolean,1,4
172,271,Square Number is multiplication of the number with *****,5,4,11011,282,0.74,31,itself,1,4
178,250,Integer can be negative,11,11,11111111111,373,0.93,32,Yes,1,6
214,318,Empty Element can contain Elements inside it,6,6,111111,306,0.21,18,No,1,36
216,512,לדעת,3,3,111,54,0.07,3,to know,1,2
