tazak,qid,question,asked,answered,last_10,last_time,priority_val,grade,ans,is_true,elapsed
4,428,דף; עמוד,2,2,11,192,0.07,10,page,1,3
6,394,רוב *****mo,6,6,111111,545,0.07,28,most,1,2
8,716,בוא הנה,0,0,,1102,0.07,81,come here,1,3
11,243,Children with worries h***** little learning ability,5,5,11111,1048,0.98,64,have,1,3
15,231,If one of the family members is not happy; e***** none of them will be happy,9,9,111111111,325,1.0,31,eventually,1,4
18,684,כריית זהב,0,0,,1122,0.07,81,gold mining,1,3
21,703,ילדה גבוהה,0,0,,1123,0.07,81,tall girl,1,3
24,488,Interactive Mode is good for running e*****,2,2,11,369,0.71,29,experiments,1,3
34,704,אמרתי שאבוא,0,0,,1125,0.07,81,i said i would come,1,9
43,617,ילדה,1,1,1,397,0.07,20,girl,1,9
