tazak,qid,question,asked,answered,last_10,last_time,priority_val,grade,ans,is_true,elapsed
4,346,Ten fingers on two hands is the p***** origin of decimal system,4,4,1111,505,0.69,35,possible,1,4
12,646,זאת הליכה קצרה,0,0,,1011,0.07,81,it is a short walk,1,8
49,339,Multiplication = The process of adding a number to i***** a particular number of times,5,5,11111,325,0.02,16,itself,1,37
52,521,Python Module is text f***** with python statements,3,3,111,246,0.76,23,file,1,3
57,383,Tag Attributes values should be enclosed in ***** marks (usually by double quotes),5,5,11111,323,0.38,21,quotation,1,5
60,644,לך לשם,0,0,,1015,0.07,81,go there,1,3
62,468,<h6> is the most important heading on the page,3,3,111,163,0.62,17,No,1,2
66,580,אבל הוא לא נפל,6,5,011111,357,0.07,23,but he did not fall,1,4
92,633,a/an = before a noun shows that was is referred to is ***** already known to the speaker,0,0,,1018,0.07,81,not,1,26
96,191,ultimately = in the e*****,4,4,1111,314,0.05,16,end,1,3
99,368,מה,4,4,1111,123,0.07,7,what,1,3
127,377,Tag Attributes usually consists of a *****-***** pairs (ex: width="50"),5,4,11101,260,0.4,25,key-value,1,28
132,624,יכולות גבוהות,0,0,,1032,0.07,81,high abilities,1,4
139,636,the = before a noun shows that was is referred to is already k***** to the speaker,0,0,,1023,0.07,81,known,1,7
142,229,בסופו של דבר *****u,4,4,1111,189,0.05,10,ultimately,1,3
258,268,Numbers are not only an invention; it is a**** a discovery,7,7,1111111,406,0.69,30,also,1,116
265,333,they = used to r***** to two or more people,6,4,001111,169,0.07,19,refer,1,7
268,277,Square Number can end with digit 2,4,4,1111,587,0.74,40,No,1,3
271,630,a/an = before a ***** shows that was is referred to is not already known to the speaker,0,0,,1028,0.07,81,noun,1,3
274,350,Positive Integers = n***** n*****,7,7,1111111,46,0.88,15,natural numbers,1,3
283,287,HTML Acronym (4 words),5,4,11101,517,0.14,33,Hyper Text Markup Language,1,9
310,659,לכרות (לחפור באדמה); למקש,0,0,,1031,0.07,81,to mine,1,27
312,479,ללכת to g,2,2,11,718,0.07,36,to go,1,2
325,242,Children with worries have little learning a*****,13,13,11111111111,394,0.98,34,ability,1,13
330,658,אני הבנתי i ***** it,0,0,,1034,0.07,81,i got it,1,5
338,546,will = the mental power used to control and direct your thoughts and a*****,1,1,1,734,0.07,37,actions,1,8
347,663,שרוול קצר,0,0,,1026,0.07,81,short sleeve,1,10
352,495,The Interactive Mode automatically prints on the screen the r***** of the typed expression,4,4,1111,51,0.71,13,result,1,4
356,580,אבל הוא לא נפל,7,6,0111111,21,0.07,6,but he did not fall,1,4
362,525,Execute module.py in Command Prompt,5,1,00001,424,0.81,57,python module.py,1,6
364,562,הפעם,4,3,0111,345,0.07,25,this time,1,2
368,571,שלך s*****,1,1,1,591,0.07,30,yours,1,4
370,485,היא,3,3,111,108,0.07,6,she,1,2
381,306,Empty HTML Element is without Content,5,5,11111,246,0.26,16,Yes,1,11
383,299,All HTML Elements have Tag Attributes,4,4,1111,469,0.1,24,No,1,2
387,226,להתלונן,4,4,1111,431,0.05,22,to complain,1,4
392,261,{p/q : p and q are integers; q is not zero} = r***** numbers,6,6,111111,664,0.9,46,rational,1,5
396,393,הפשטה *****a,4,4,1111,609,0.05,31,abstraction,1,3
407,457,Head Tag is located in the start of the document; after ***** opening tag,3,3,111,996,0.62,59,html,1,11
410,221,עם ***w,4,4,1111,810,0.07,41,with,1,3
429,403,Global Tag Attributes can be used in m***** elements (ex: class; draggable),4,4,1111,453,0.4,28,most,1,19
435,303,Empty HTML Element may have Tag Attributes,6,6,111111,564,0.26,32,Yes,1,6
437,404,available = ready for immediate u*****,3,3,111,220,0.07,12,use,1,3
440,546,will = the mental power used to control and direct your thoughts and a*****,2,2,11,18,0.07,1,actions,1,3
444,574,אתה צודק,1,1,1,536,0.07,27,you are right,1,4
447,576,אני איתך,2,2,11,514,0.07,26,i am with,0,3
453,217,אתה,4,4,1111,516,0.07,26,you,1,2
459,233,Without happiness; we w***** not be able to share it,7,7,1111111,407,1.0,35,will,1,6
509,227,חלוקה *****d,3,3,111,316,0.05,16,division,1,50
516,660,מוקש,0,0,,1059,0.07,81,mine,1,6
524,378,Tag Attributes usually consists of a key-value p***** (ex: width="50"),4,4,1111,585,0.4,35,pairs,1,8
527,225,בסופו של דבר *****u,5,5,11111,425,0.05,22,ultimately,1,3
530,180,and = used to j***** two words,3,3,111,495,0.07,25,join,1,3
534,329,Number Line is a straight line that serves as a***** for real numbers,8,6,01111011,305,0.69,33,abstraction,1,4
538,375,Tag Attributes are located in the opening *****,5,5,11111,355,0.38,23,tag,1,4
568,224,בסופו של דבר *****e,4,4,1111,506,0.05,26,eventually,1,31
570,428,דף; עמוד,1,1,1,1170,0.07,51,page,1,2
581,469,HTML Tag is i***** for the start and the end of HTML document,5,5,11111,188,0.62,18,indication,1,11
585,542,their = of or belonging to t*****,2,2,11,203,0.07,11,them,1,4
591,348,Ten fingers on two hands is the possible origin of decimal s*****,5,5,11111,609,0.69,40,system,1,6
595,628,גבוה (לא בן אדם),0,0,,1080,0.07,81,high,1,5
600,347,Ten fingers on two hands is the possible origin of d***** system,4,4,1111,335,0.69,27,decimal,1,5
604,319,Non Empty Element can contain any number of Elements inside it,4,4,1111,293,0.21,17,Yes,1,4
607,577,על השולחן,1,1,1,510,0.07,26,on the table,1,3
611,483,לקבל (להשיג) to g,2,2,11,234,0.07,12,to get,1,4
734,353,Composite Number is a positive integer that can be performed by multiplying two smaller p***** integers,6,6,111111,223,0.74,22,positive,1,123
736,211,של,7,7,1111111,474,0.07,24,of,1,2
738,665,מכנסיים קצרים *****,0,0,,1067,0.07,81,shorts,1,2
741,638,הדעה שלו,0,0,,1078,0.07,81,his opinion,1,4
744,275,Square Number can end with digit 0,6,6,111111,168,0.74,19,Yes,1,2
747,498,The drawback of the Interactive Mode is it does not save the typed c***** in a file,3,3,111,526,0.71,36,code,1,4
754,423,metadata = data that provides i***** about other data,1,1,1,1201,0.02,50,information,1,6
759,234,A happy man does not complain all the time and thinks the world o***** him,9,8,011111111,147,1.0,25,owes,1,6
762,611,עמוד אינטרנט,0,0,,1298,0.07,81,web page,1,3
765,503,In the Interactive Mode; a multiline statement terminates with a blank l*****,5,5,11111,88,0.71,15,line,1,3
771,305,Empty HTML Element is without Closing Tag,7,6,1111110,310,0.26,23,Yes,1,6
775,396,Tag Attributes values should be enclosed in quotation marks (usually by d**** quotes),4,4,1111,397,0.38,25,double,1,4
779,273,The number N is a Square Number iff one can arrange N points in a *****,8,8,11111111,275,0.86,26,square,1,4
785,568,בתוך הקווים,2,1,01,150,0.07,23,within the lines,1,6
790,291,HTML is Case-Sensitive,3,3,111,422,0.24,24,1,1,6
793,212,ל,6,6,111111,556,0.07,28,to,1,3
796,664,קצר,0,0,,1081,0.07,81,short,1,3
806,655,כריית ביטקוין,0,0,,1092,0.07,81,bitcoin mining,1,10
809,272,N^2 usually pronounced as N *****,5,5,11111,400,0.86,32,squared,1,3
811,232,Without happiness; we will not be a***** to share it,13,13,11111111111,144,1.0,22,able,1,2
815,432,כותרת h*****e,3,3,111,358,0.05,18,headline,1,3
817,555,לספר,2,2,11,310,0.07,16,to tell,1,2
821,356,Number Type Ordering: Natural (Counting) => ***** => Integer => Rational => Real,8,8,11111111,223,0.93,25,whole,1,4
830,215,בתוך *****i,5,5,11111,871,0.07,44,in,0,10
977,613,ילד/ה *****c,0,0,,1314,0.07,81,child,1,3
981,640,משם ***** *****,0,0,,1100,0.07,81,from there,1,5
986,501,In the Interactive Mode; a multiline statement t***** with a blank line,3,3,111,498,0.71,35,terminates,1,4
991,301,Empty HTML Element,6,6,111111,303,0.29,19,1,1,5
999,632,a/an = before a noun shows that was is referred to is not already k***** to the speaker,0,0,,1103,0.07,81,known,1,8
1007,627,יכולת (פוטנציאל) *****c,0,0,,1114,0.07,81,capability,1,8
1039,325,HTML Tag holds instructions to the b****** about the meaning of the text,8,8,11111111,720,0.45,42,browser,1,32
1043,349,Natural Numbers = p***** i*****,8,8,11111111,428,0.88,34,positive integers,1,3
1046,234,A happy man does not complain all the time and thinks the world o***** him,10,9,0111111111,25,1.0,19,owes,1,3
1052,203,להתחיל להיות,3,3,111,975,0.07,49,to become,1,6
1059,649,נשיכה ארוכה,0,0,,1109,0.07,81,deep bite,1,7
