tazak,qid,question,asked,answered,last_10,last_time,priority_val,grade,ans,is_true,elapsed
4,541,t***** = of or belonging to them,3,3,111,282,0.07,15,their,1,4
6,587,ליפול,2,2,11,498,0.07,25,to fall,1,2
13,525,Execute module.py in Command Prompt,6,2,000011,84,0.81,36,python module.py,1,7
17,380,Boolean Tag Attribute is without ***** (ex: checked; required),4,3,1101,184,0.36,22,value,1,5
20,661,לנשוך,0,0,,1125,0.05,80,to bite,1,2
21,586,שולחן,3,3,111,202,0.07,11,table,1,2
27,516,כל; כל אחד y*****,1,1,1,838,0.07,42,every,1,5
31,486,שלי y*****,3,3,111,246,0.07,13,my,1,5
35,332,אבל / אולם,4,4,1111,788,0.07,40,but,1,3
40,490,Interactive Mode immediately e***** python statements,3,3,111,207,0.71,21,executes,1,5
