tazak,qid,question,asked,answered,last_10,last_time,priority_val,grade,ans,is_true,elapsed
5,385,<p> = ***** level tag,0,0,,1006,0.38,85,block,1,4
7,235,A happy man does not c***** all the time and thinks the world owes him,3,3,111,9,1.0,15,complain,1,2
9,251,Whole Numbers = positive integers with z*****,4,4,1111,23,0.72,11,zero,1,2
17,397,Tag Attributes values should be enclosed in quotation marks (usually by double q*****),0,0,,1009,0.62,89,quotes,1,8
28,308,<b><img src="path"></b> is Empty HTML Element,1,1,1,341,0.45,23,No,1,11
36,403,Global Tag Attributes can be used in m***** elements (ex: class; draggable),0,0,,1011,0.66,89,most,1,8
39,256,Natual Numbers can be negative,1,1,1,216,0.9,24,No,1,2
42,370,Irrational Numbers cannot be written as a f*****,0,0,,1013,0.9,93,fraction,1,3
44,233,Without happiness; we w***** not be able to share it,2,2,11,153,1.0,22,will,1,2
48,384,Tag Attributes values should be enclosed in quotation ***** (usually by double quotes),0,0,,1015,0.62,89,marks,1,4
50,243,Children with worries h***** little learning ability,1,1,1,320,0.97,30,have,1,2
56,399,Tag Attribute value with double quotes should be enclosed in s***** quotes,0,0,,1017,0.59,88,single,1,7
59,322,HTML P***** Element have a Nested Element within it,2,2,11,223,0.24,14,parent,1,3
62,395,רוב *****ma,0,0,,1019,0.1,81,majority,1,3
67,362,Rational Numbers = {p/q : ***** and ***** are *****; q is not zero},0,0,,1020,0.9,93,p and q are integers,1,5
71,280,Square Number can end with digit 5,1,1,1,228,0.52,19,Yes,1,4
73,386,<div> = ***** level tag,0,0,,1022,0.38,85,block,1,2
78,396,Tag Attributes values should be enclosed in quotation marks (usually by d**** quotes),0,0,,1023,0.62,89,double,1,4
85,380,Boolean Tag Attribute is without ***** (ex: checked; required),0,0,,1024,0.59,88,value,1,7
89,376,Tag Attributes u**** consists of a key-value pairs (ex: key="value"),0,0,,1025,0.66,89,ususally,0,4
110,249,Integer = Number with n***** fractional part,2,2,11,171,0.72,19,no,1,16
115,202,להיות,1,1,1,285,0.1,15,to be,1,5
118,398,Tag Attribute value with double quotes should be e***** in single quotes,0,0,,1028,0.59,88,enclosed,1,4
122,230,If one of the family members is not happy; eventually none of them will be h*****,4,4,1111,48,1.0,17,happy,1,3
126,194,סוגריים [],1,1,1,253,0.1,14,brackets,1,4
143,241,Children w***** succeed in what they love to do,1,1,1,186,0.97,23,will,1,16
145,320,HTML Parent Element have a n**** Element within it,2,2,11,153,0.28,11,nested,1,2
168,377,Tag Attributes usually consists of a *****-***** pairs (ex: key="value"),0,0,,1033,0.66,89,key-value,1,23
228,382,Tag Attributes values should be e***** in quotation marks (usually by double quotes),0,0,,1034,0.62,89,enclosed,1,60
235,290,Markup Language = tags that c***** the text,2,2,11,64,0.21,6,characterize,1,7
238,374,Tag Attributes are located in the ***** tag,0,0,,1036,0.62,89,opening,1,4
241,375,Tag Attributes are located in the opening *****,0,0,,1037,0.62,89,tag,1,2
244,329,Number Line is a straight line that serves as a***** for real numbers,2,1,01,157,0.48,30,abstraction,1,4
246,259,Counting Numbers can be negative,1,1,1,360,0.9,31,No,1,2
249,394,רוב *****mo,0,0,,1040,0.1,81,most,1,2
251,236,Happy people share p***** energy with those around them,4,4,1111,149,1.0,22,positive,1,2
254,252,Whole Numbers = positive i***** with zero,4,4,1111,103,0.72,15,integers,1,3
260,186,these = plural form of *****,2,1,01,201,0.1,26,this,1,6
268,270,Square Number is ***** of the number with itself,1,1,1,347,0.52,25,multiplication,1,8
274,392,מרכאות,0,0,,1045,0.07,81,quotation marks,1,6
280,399,Tag Attribute value with double quotes should be enclosed in s***** quotes,1,1,1,29,0.59,10,single,1,5
282,368,מה,0,0,,1047,0.1,81,what,1,2
312,387,<h1> = ***** level tag,0,0,,1048,0.38,85,block,1,30
315,261,{p/q : p and q are integers; q is not zero} = r***** numbers,1,1,1,337,0.76,28,rational,1,3
320,372,In Irrational Numbers; the decimal expansion goes on forever without *****ing,0,0,,1050,0.9,93,repeating,1,5
323,393,הפשטה *****a,0,0,,1051,0.07,81,abstraction,1,3
325,228,בסופו של דבר e*****,1,1,1,245,0.07,13,eventually,1,2
336,291,HTML is Case-Sensitive,1,1,1,401,0.34,25,1,1,11
342,347,Ten fingers on two hands is the possible origin of d***** system,1,1,1,254,0.48,19,decimal,1,5
344,220,הוא,1,1,1,338,0.1,18,he,1,2
345,248,Integer = Number w***** no fractional part,5,5,11111,63,0.72,13,with,1,2
348,391,<img> = ***** level tag,0,0,,1057,0.38,85,inline,1,3
356,369,Irrational Numbers cannot be w***** as a fraction,0,0,,1058,0.9,93,written,1,8
362,331,If we add the number N to its opposite number we get z*****,1,1,1,207,0.48,17,zero,1,6
367,273,The number N is a Square Number iff one can arrange N points in a *****,3,3,111,209,0.69,20,square,1,5
374,325,HTML Tag holds instructions to the b****** about the meaning of the text,1,1,1,250,0.83,24,browser,1,7
377,388,<li> = ***** level tag,0,0,,1062,0.38,85,block,1,3
384,389,<a> = ***** level tag,0,0,,1063,0.38,85,inline,1,7
389,344,כפל,1,1,1,281,0.1,15,multiplication,1,5
391,211,של,2,2,11,241,0.1,13,of,1,2
393,401,G***** Tag Attributes can be used in most elements (ex: class; draggable),0,0,,1066,0.66,89,global,1,3
396,232,Without happiness; we will not be a***** to share it,4,4,1111,75,1.0,18,able,1,3
403,371,In ***** numbers; the decimal expansion goes on forever without repeating,0,0,,1068,0.9,93,irrational,1,7
409,350,Positive Integers = n***** n*****,3,3,111,158,0.72,18,natural numbers,1,6
412,331,If we add the number N to its opposite number we get z*****,2,2,11,11,0.48,7,zero,1,3
445,334,הם,2,2,11,77,0.1,5,they,1,33
451,309,Empty HTML Element can nest other Elements within them,2,2,11,130,0.45,13,No,1,6
456,310,HTML Element Block Level,4,4,1111,147,0.45,14,2,1,5
967,390,<b> = ***** level tag,0,0,,1074,0.38,85,inline,1,510
