tazak,qid,question,asked,answered,last_10,last_time,priority_val,grade,ans,is_true,elapsed
17,599,מיעוט,1,1,1,764,0.04,38,minority,1,16
18,485,היא,4,4,1111,485,0.07,25,she,1,1
21,330,If we add the number N to its o***** number we get zero,6,6,111111,674,0.71,44,opposite,1,3
32,637,הילדה הכי יפה,0,0,,1529,0.07,81,the most beautiful girl,1,11
37,761,s***** = a set of things working together,0,0,,1104,0.07,81,system,1,4
46,200,אלה כאן ואלה שם,7,6,1110111,618,0.07,36,these are here and thos are there,0,9
59,697,קו ארוך,1,1,1,204,0.07,11,long line,1,3
62,656,כריית נתונים,1,1,1,399,0.07,21,data mining,1,3
69,672,אין דברים כאלה,0,0,,1403,0.07,81,no such things,0,7
113,334,הם,6,6,111111,420,0.07,22,they,1,2
116,188,these = p***** form of this,6,6,111111,787,0.07,40,plural,1,3
124,683,would = used to refer to the future from the view of the *****,1,1,1,245,0.07,13,past,1,8
127,204,ו / וגם,6,5,111101,39,0.07,7,and,1,3
142,532,Execute module.py in Command Prompt with Stream-Redirection to output.txt,2,2,11,671,0.89,46,python module.py > output.txt,1,15
147,586,שולחן *****t,4,4,1111,414,0.07,21,table,1,6
149,431,כותרת *****t,3,3,111,894,0.04,45,title,1,2
153,534,Command "import" load another m***** and grant access to its content,3,3,111,296,0.87,27,module,1,4
156,758,Sqrt(9) = ?,0,0,,1117,0.93,93,3,1,3
160,527,Executing a module in interactive m***** enables printing the variables' values,7,7,1111111,108,0.87,18,mode,1,4
180,744,import and print variable x from module_1 (without from),1,1,1,138,0.89,20,import module_1\nprint(module_1.x),1,20
244,696,על הקו,2,2,11,258,0.07,13,on the line,1,64
257,788,SQLite has serverless architecture,0,0,,1121,0.6,89,Yes,1,13
259,664,קצר,1,1,1,457,0.07,23,short,1,2
269,650,קיבלתי ציון,1,0,0,332,0.07,47,i got grade,0,10
280,746,Absolute Value of a number is its distance from ***** (on the number line),0,0,,1124,0.78,91,zero,1,5
283,325,HTML Tag holds instructions to the b****** about the meaning of the text,9,9,111111111,446,0.42,28,browser,1,4
287,391,<img> = i**** level tag,3,3,111,1274,0.24,53,inline,1,4
289,554,כל כך *****s,6,4,001111,212,0.07,21,so,1,1
292,226,להתלונן,5,5,11111,509,0.04,26,to complain,1,3
298,593,סוף סוף נגמר,1,1,1,679,0.07,35,finally over,1,6
321,709,לעשות; להכין to m,1,1,1,205,0.07,11,to make,1,24
324,212,ל,7,7,1111111,467,0.07,24,to,1,2
330,462,Heading Tag defines the hierarchy and the s***** of the web page content,5,5,11111,114,0.53,13,structure,1,7
393,735,module_1 content:
====================
x=2

module_2 content:
====================
import module_1
print(x)

Valid code?,0,0,,1301,0.87,93,No,1,63
398,657,כריית פחם,2,1,10,163,0.07,24,coal mining,1,5
407,581,הם רצו להגיד,1,1,1,1082,0.07,51,they wanted to say,1,8
411,792,SQLite allows simultaneous a***** to multiple database files,0,0,,1136,0.64,89,access,1,5
416,352,Composite Number is a positive integer that can be performed by multiplying two s***** positive integers,8,8,11111111,68,0.73,14,smaller,1,5
422,230,If one of the family members is not happy; eventually none of them will be h*****,10,10,1111111111,420,1.0,36,happy,1,6
481,728,מה השעה עכשיו,0,0,,1407,0.07,81,what is the time now,1,59
498,755,7 * 71 = ?,0,0,,1140,0.93,93,497,1,17
501,468,<h6> is the most important heading on the page,5,5,11111,341,0.58,25,No,1,3
505,303,Empty HTML Element may have Tag Attributes,7,7,1111111,517,0.24,29,Yes,1,4
513,440,The goal of the comments is to make the code e***** to understand,4,3,1011,581,0.47,43,easier,1,8
515,414,ריבוע,3,3,111,886,0.04,44,square,1,2
519,377,Tag Attributes usually consists of a *****-***** pairs (ex: width="50"),7,6,1110111,439,0.38,31,key-value,1,3
530,731,בזמן קצר time ***** ***** *****,1,0,0,283,0.07,45,in a short time,1,11
538,380,Boolean Tag Attribute is without ***** (ex: checked; required),5,4,11011,449,0.33,33,value,1,8
543,619,h***** = a system in which objects are ranked one above the other according to their status,2,2,11,58,0.02,3,hierarchy,1,5
546,536,Command "import" load another module and grant a***** to its content,4,4,1111,746,0.87,50,access,1,3
559,371,In ***** numbers; the decimal expansion goes on forever without repeating,6,6,111111,811,0.93,54,irrational,1,13
562,233,Without happiness; we w***** not be able to share it,8,8,11111111,520,1.0,41,will,1,3
565,566,ספר שלך,3,2,110,572,0.07,39,your book,1,3
612,740,module_1 content:
====================
x=2

module_2 content:
====================
from module_1 import x
print(x)

What will be printed?,2,1,01,157,0.87,35,2,0,47
714,456,Head Tag for English language,6,4,101110,359,0.58,36,<head charset="UTF-8"></head>,1,12
720,632,a/an = before a noun shows that was is referred to is not already k***** to the speaker,2,2,11,269,0.07,14,known,1,6
726,202,להיות,4,4,1111,774,0.07,39,to be,1,6
730,749,|-n| is read "the absolute ***** of -n",0,0,,1157,0.73,90,value,1,4
740,471,HTML Tag for English language,7,2,1000100,208,0.58,40,<html lang="en"></html>,1,9
745,548,תספר לי על עצמך,4,4,1111,374,0.07,19,tell me about yourself,1,6
748,245,Composite Number is a positive i***** that can be performed by multiplying two smaller positive integers,6,6,111111,671,0.76,44,integer,1,3
759,648,הילד ננשך על ידי הכלב,2,2,11,164,0.07,9,the boy was bitten by the dog,1,11
761,299,All HTML Elements have Tag Attributes,5,5,11111,544,0.09,28,No,1,3
766,529,Executing a module in interactive mode enables printing the v***** values,2,2,11,684,0.87,47,variable's,0,4
770,278,Square Number can end with digit 3,5,5,11111,253,0.73,23,No,1,2
772,573,סתיו *****a,1,1,1,876,0.04,44,autumn,1,2
777,760,system = a set of things working t*****,0,0,,1166,0.07,81,together,1,5
779,252,Whole Numbers = positive i***** with zero,8,8,11111111,953,0.82,59,integers,1,2
