tazak,qid,priority_val,question,asked,answered,last_10,last_time,grade,ans,is_true,elapsed
340,262,0.73,Rational Numbers = {p/q : p and q are i*****; q is not zero},1,1,1,1,11,integers,1,340
350,301,0.58,Empty HTML Element,1,1,1,1,8,1,1,10
354,243,0.96,Children with worries h***** little learning ability,1,1,1,1,14,have,1,4
365,270,0.35,Square Number is ***** of the number with itself,1,1,1,1,5,multiplication,1,11
868,245,0.5,Composite Number is a positive i***** that can be performed by multiplying two smaller positive integers,1,1,1,1,7,integer,1,503
871,279,0.35,Square Number can end with digit 4,1,1,1,1,5,Yes,1,3
880,311,0.62,HTML Element Inline Level,1,1,1,1,9,1,1,9
1129,230,1,If one of the family members is not happy; eventually none of them will be h*****,1,1,1,1,15,happy,1,249
1132,281,0.35,Square Number can end with digit 6,1,1,1,1,5,Yes,1,3
1134,206,0.12,זה *i,1,1,1,1,1,it,1,2
1170,336,0.08,הפניה / התייחסות,1,1,1,1,1,reference,1,36
1179,285,0.35,The name Square Number comes from the name of the s*****,1,1,1,1,5,shape,1,9
1591,266,0.19,The most common today numeral system is d*****,1,1,1,1,2,decimal,1,412
1596,300,0.27,All HTML Elements have Content,1,1,1,1,4,No,1,5
1599,221,0.12,עם ***w,1,1,1,1,1,with,1,3
1606,333,0.12,they = used to r***** to two or more people,1,0,0,1,31,relate,0,8
1642,251,0.69,Whole Numbers = positive integers with z*****,1,1,1,1,10,zero,1,16
1644,222,0.12,על *o,1,1,1,1,1,on,1,3
1650,261,0.73,{p/q : p and q are integers; q is not zero} = r***** numbers,1,1,1,1,11,rational,1,6
1663,321,0.42,HTML Child Element is n***** within other Element,1,1,1,1,6,nested,1,13
1729,235,1,A happy man does not c***** all the time and thinks the world owes him,1,1,1,1,15,complain,1,31
1732,272,0.65,N^2 usually pronounced as N *****,1,1,1,1,9,squared,1,3
1735,220,0.12,הוא,1,1,1,1,1,he,1,2
1771,267,0.19,Numbers w***** invented for counting commodities,1,1,1,1,2,were,1,37
1835,246,0.65,The Number N is a Composite Number iff one can arrange N points in a r*****,1,1,1,1,9,rectangle,1,64
1842,179,0.12,to become = to b***** to be,1,1,1,1,1,begin,1,7
2122,254,0.69,Natural Numbers = positive i*****,1,1,1,1,10,integers,1,279
2124,297,0.27,All HTML Elements have Opening Tag,2,2,11,1,4,Yes,1,2
2139,200,0.04,אלה כאן ואלה שם,1,1,1,1,1,these are here and those are there,1,15
2141,296,0.31,HTML Document consists of HTML Elements,1,1,1,1,4,Yes,1,3
2145,226,0.08,להתלונן,1,1,1,1,1,to complain,1,4
2150,188,0.12,these = p***** form of this,1,1,1,1,1,plural,1,4
2159,203,0.12,להתחיל להיות,1,1,1,1,1,to become,1,9
2160,210,0.12,אלה **o**,1,1,1,1,1,those,1,2
2162,334,0.12,הם,1,1,1,1,1,they,1,2
2167,236,1,Happy people share p***** energy with those around them,1,1,1,1,15,positive,1,5
2169,216,0.12,אני,1,1,1,1,1,i,1,2
2172,242,0.96,Children with worries have little learning a*****,1,1,1,1,14,ability,1,3
2192,244,0.5,Composite Number is a p***** integer that can be performed by multiplying two smaller positive integers,1,1,1,1,7,positive,1,20
2312,253,0.88,Whole Numbers can be negative,1,1,1,1,13,No,1,120
2329,233,1,Without happiness; we w***** not be able to share it,1,1,1,1,15,will,1,17
2333,230,1,If one of the family members is not happy; eventually none of them will be h*****,2,2,11,1,15,happy,1,4
2349,247,0.65,Composite Number that is not a Square Number; have an ***** number of positive divisors,2,1,1,1,24,even,1,15
2355,238,0.92,Because of bad p*****; children learn that one can love someone who hurts them,1,1,1,1,13,parents,1,6
2371,322,0.38,HTML P***** Element have a Nested Element within it,1,1,1,1,5,parent,1,16
2388,182,0.12,to be able to = to h***** the necessary ability to do something,1,1,1,1,1,have,1,16
2395,223,0.12,אנחנו,1,1,1,1,1,we,1,7
2407,202,0.12,להיות,1,1,1,1,1,to be,1,13
2411,215,0.12,בתוך *****i,1,1,1,1,1,inside,1,4
