tazak,qid,question,asked,answered,last_10,last_time,priority_val,grade,ans,is_true,elapsed
4,497,The drawback of the Interactive Mode is it does not s***** the typed code in a file,2,2,11,84,0.71,14,save,1,4
6,360,Recommended HTML Style is lowercase,4,4,1111,480,0.24,27,Yes,1,2
9,553,רצון,0,0,,1002,0.07,81,will,1,2
20,531,Execute module.py in Comand Prompt with Interactive Mode,0,0,,1103,0.81,92,python module.py,0,12
32,550,מי,0,0,,1004,0.07,81,who,1,2
34,328,Number Line is a s***** line that serves as abstraction for real numbers,4,4,1111,105,0.69,15,straight,1,2
42,461,Heading Tag defines the h***** and the structure of the web page content,1,1,1,391,0.57,28,hierarchy,1,8
49,230,If one of the family members is not happy; eventually none of them will be h*****,6,6,111111,368,1.0,33,happy,1,6
52,509,כמו *****s,0,0,,1108,0.07,81,such,1,3
57,371,In ***** numbers; the decimal expansion goes on forever without repeating,4,4,1111,62,0.93,17,irrational,1,5
