tazak,qid,priority_val,question,asked,answered,last_10,last_time,grade,ans,is_true,elapsed
4,279,0.35,Square Number can end with digit 4,1,1,1,1,5,Yes,1,4
10,238,0.92,Because of bad p*****, children learn that one can love someone who hurts them,1,1,1,1,13,parents,1,6
15,326,0.81,HTML Tags are embedded into each other to indicate the document's o********,1,1,1,1,12,organization,1,5
19,311,0.62,HTML Element Inline Level,1,1,1,1,9,1,1,4
24,288,0.15,Hyper Text = Text with l***** to another text,1,1,1,1,2,link,1,5
29,273,0.65,The number N is a Square Number if and only if one can arrange N points in a *****,1,1,1,1,9,square,1,5
32,292,0.23,Some HTML Tag Attributes are Case Sensitive,1,1,1,1,3,Yes,1,3
35,181,0.12,to be able to = to have the necessary a***** to do something,1,1,1,1,1,ability,1,3
39,231,1.0,If one of the family members is not happy, e***** none of them will be happy,1,1,1,1,15,eventually,1,3
42,300,0.27,All HTML Elements have Content,1,1,1,1,4,No,1,3
