tazak,qid,priority_val,question,asked,answered,last_10,last_time,grade,ans,is_true,elapsed
4,318,0.46,Empty Element can contain Elements inside it,1,1,1,1,6,No,1,4
8,272,0.65,N^2 usually pronounced as N *****,1,1,1,1,9,squared,1,4
11,255,0.69,Natural Numbers = p***** integers,1,1,1,1,10,positive,1,2
18,289,0.15,Markup Language = t***** that characterize the text,1,1,1,1,2,tags,1,7
21,296,0.31,HTML Document consists of HTML Elements,1,1,1,1,4,Yes,1,3
25,254,0.69,Natural Numbers = positive i*****,1,1,1,1,10,integers,1,4
44,200,0.04,אלה כאן ואלה שם,1,1,1,1,1,these are here and those are there,1,19
60,269,0.19,The first systematic study of numbers as absractions is usually credited to the
Greek p***** Pythagoras and Archimedes.,1,1,1,1,2,philosophers,1,16
67,204,0.12,ו / וגם,1,1,1,1,1,and,1,7
70,300,0.27,All HTML Elements have Content,1,1,1,1,4,No,1,3
