tazak,qid,question,asked,answered,last_10,last_time,priority_val,grade,ans,is_true,elapsed
14,645,אני הולך הביתה,0,0,,1000,0.07,81,i am going home,1,14
25,647,קצר או ארוך,0,0,,1001,0.07,81,short or long,1,10
335,623,יש לי את היכולת,0,0,,1012,0.07,81,i have the ability,1,310
343,648,ננשך על ידי הכלב,0,0,,1003,0.07,81,bitten by the dog,1,8
419,604,הספר הזה וההוא,0,0,,1244,0.07,81,this and that book,1,77
475,549,הסיפור מספר,1,1,1,709,0.07,36,the story tells,1,55
480,566,ספר שלך,2,2,11,316,0.07,16,yours book,0,5
487,643,לך מפה,0,0,,1007,0.07,81,go away,1,3
493,240,Children will s***** in what they love to do,14,13,11111111111,288,0.98,29,succeed,1,6
498,657,כריית פחם,0,0,,1009,0.07,81,coal mining,1,5
