tazak,qid,priority_val,question,asked,answered,last_10,last_time,grade,ans,is_true,elapsed
2,250,0.88,Integer can be negative,4,4,1111,1,13,Yes,1,2
8,322,0.38,HTML P***** Element have a Nested Element within it,2,2,11,1,5,parent,1,5
16,256,0.88,Natual Numbers can be negative,1,1,1,1,13,No,1,8
20,255,0.73,Natural Numbers = p***** integers,2,2,11,1,11,positive,1,4
22,296,0.31,HTML Document consists of HTML Elements,2,2,11,1,4,Yes,1,2
25,224,0.08,בסופו של דבר *****e,1,1,1,1,1,eventually,1,4
31,347,0.23,Ten fingers on two hands is the possible origin of d***** system,1,1,1,1,3,decimal,1,5
34,360,0.19,Recommended HTML Style is lowercase,1,1,1,1,2,Yes,1,3
37,335,0.08,להפנות,1,1,1,1,1,to refer,1,3
49,354,0.69,Counting Numbers = Natural Numbers,1,1,1,1,10,Yes,1,12
51,204,0.12,ו / וגם,1,1,1,1,1,and,1,2
54,181,0.12,to be able to = to have the necessary a***** to do something,1,1,1,1,1,ability,1,3
63,359,0.88,Number Type Ordering: Natural => Whole => Integer => Rational => *****,1,1,1,1,13,real,1,9
70,228,0.08,בסופו של דבר e*****,1,1,1,1,1,eventually,1,7
260,242,0.96,Children with worries have little learning a*****,3,3,111,1,14,ability,1,190
293,286,0.5,Square Number (except zero) has an ***** number of positive divisors,2,1,01,1,22,odd,1,33
297,207,0.12,זה *i**,1,1,1,1,1,this,1,4
301,325,0.81,HTML Tag holds instructions to the b****** about the meaning of the text,1,1,1,1,12,browser,1,3
310,244,0.5,Composite Number is a p***** integer that can be performed by multiplying two smaller positive integers,2,2,11,1,7,positive,1,9
313,333,0.12,they = used to r***** to two or more people,3,1,001,1,21,refer,1,3
319,305,0.54,Empty HTML Element is without Closing Tag,1,1,1,1,8,Yes,1,6
322,186,0.12,these = plural form of *****,1,0,0,1,31,that,0,3
331,311,0.62,HTML Element Inline Level,2,2,11,1,9,2,1,3
345,240,0.96,Children will s***** in what they love to do,3,2,011,1,24,succeed,1,14
348,187,0.12,those = plurar form of *****,1,1,1,1,1,that,1,3
352,319,0.46,Non Empty Element can contain any number of Elements inside it,1,1,1,1,6,Yes,1,4
357,273,0.65,The number N is a Square Number iff one can arrange N points in a *****,2,2,11,1,9,square,1,5
364,355,0.88,Number Type Ordering: ***** => Whole => Integer => Rational => Real,1,1,1,1,13,natural,1,7
368,267,0.19,Numbers w***** invented for counting commodities (5 packages),2,2,11,1,2,were,1,4
373,251,0.69,Whole Numbers = positive integers with z*****,2,2,11,1,10,zero,1,5
375,211,0.12,של,2,2,11,1,1,of,1,2
386,346,0.23,Ten fingers on two hands is the p***** origin of decimal system,1,1,1,1,3,possible,1,11
391,260,0.73,Rational Number = Number that can be written as a f*****,2,2,11,1,11,fraction,1,5
393,240,0.96,Children will s***** in what they love to do,4,3,0111,1,21,succeed,1,2
400,288,0.15,Hyper Text = Text with l*** to another text,2,1,01,1,17,link,1,7
406,239,0.92,Because of bad parents; children learn that one can love someone w***** hurts them,2,2,11,1,13,who,1,5
413,358,0.88,Number Type Ordering: Natural => Whole => Integer => ***** => Real,1,1,1,1,13,rational,1,7
416,303,0.54,Empty HTML Element may have Tag Attributes,1,1,1,1,8,Yes,1,3
419,252,0.69,Whole Numbers = positive i***** with zero,2,2,11,1,10,integers,1,3
426,301,0.58,Empty HTML Element,2,2,11,1,8,2,1,7
430,221,0.12,עם ***w,2,2,11,1,1,with,1,4
433,237,1.0,Happy people share positive energy with t***** around them,2,2,11,1,15,those,1,3
439,356,0.88,Number Type Ordering: Natural => ***** => Integer => Rational => Real,1,1,1,1,13,whole,1,6
454,238,0.92,Because of bad p*****; children learn that one can love someone who hurts them,2,2,11,1,13,parents,1,15
513,351,0.5,Composite Number is a positive integer that can be performed by m***** two smaller positive integers,2,1,01,1,22,multiplying,1,59
525,265,0.19,The first numeral systems w***** created at the same time as agriculture and commerce,1,1,1,1,2,were,1,12
528,217,0.12,אתה,2,2,11,1,1,you,1,3
530,317,0.54,<b> is an Inline Level Tag,1,1,1,1,8,Yes,1,2
532,186,0.12,these = plural form of *****,2,1,01,1,16,this,1,2
