tazak,qid,priority_val,question,asked,answered,last_10,last_time,grade,ans,is_true,elapsed
69,200,0.04,אלה כאן ואלה שם,1,0,0,1,30,these and those,0,69
89,266,0.19,The most common today numeral system is d*****,1,1,1,1,2,decimal,1,4
107,244,0.5,Composite Number is a p***** integer that can be performed by multiplying two smaller positive integers,1,1,1,1,7,positive,1,17
113,309,0.62,Empty HTML Element can nest other Elements within them,1,1,1,1,9,No,1,6
118,302,0.54,Empty HTML Element must be without Tag Attributes,1,1,1,1,8,No,1,6
123,323,0.38,HTML C***** Element is nested within other Element,1,1,1,1,5,child,1,5
131,301,0.58,Empty HTML Element,1,1,1,1,8,1,1,8
136,195,0.08,הורות,1,0,0,1,31,parentheses,0,5
148,193,0.12,סוגריים (),1,1,1,1,1,parentheses,1,7
154,321,0.42,HTML Child Element is n***** within other Element,1,1,1,1,6,nested,1,6
158,322,0.38,HTML P***** Element have a Nested Element within it,1,1,1,1,5,parent,1,4
161,201,0.04,צורת רבים,1,0,0,1,30,plural,0,3
173,242,0.96,Children with worries have little learning a*****,1,1,1,1,14,ability,1,4
174,212,0.12,ל,1,1,1,1,1,to,1,2
179,293,0.19,Recommended HTML Style is *****case,1,1,1,1,2,lowercase,1,4
181,210,0.12,אלה **o**,1,1,1,1,1,those,1,2
183,217,0.12,אתה,1,1,1,1,1,you,1,2
185,255,0.69,Natural Numbers = p***** integers,1,1,1,1,10,positive,1,3
189,181,0.12,to be able to = to have the necessary a***** to do something,1,1,1,1,1,ability,1,3
192,191,0.08,ultimately = in the e*****,1,1,1,1,1,end,1,3
197,300,0.27,All HTML Elements have Content,1,1,1,1,4,No,1,5
256,216,0.12,אני,1,1,1,1,1,i,1,59
260,180,0.12,and = used to j***** two words,1,1,1,1,1,join,1,3
263,297,0.27,All HTML Elements have Opening Tag,1,1,1,1,4,Yes,1,3
267,274,0.5,N^2 is sum of the first N ***** numbers,1,1,1,1,7,odd,1,4
271,331,0.23,If we add the number N to its opposite number we get z*****,1,1,1,1,3,zero,1,4
277,246,0.65,The Number N is a Composite Number if and only if one can arrange N points in a r*****,1,1,1,1,9,rectangle,1,7
282,230,1.0,If one of the family members is not happy, eventually none of them will be h*****,1,1,1,1,15,happy,1,4
286,239,0.92,Because of bad parents, children learn that one can love someone w***** hurts them,1,1,1,1,13,who,1,4
288,218,0.12,בשביל,1,1,1,1,1,for,1,2
